course_id,title,description,category,difficulty,rating,num_ratings,source,url
2-speed-it,2 Speed It,"BOring Bravo ! Very goo Great course - I recommend it for all, especially IT and Business Managers! One of the most useful course on IT Management! I was disappointed because the name is misleading.  ...",Computer Science,Beginner,4.36,25,Coursera,https://www.coursera.org/learn/2-speed-it
20cnwm,This,"good and interesting This class is very helpful to me.  Currently, I'm still learning this class which makes up a lot of basic music knowledge.",Arts & Design,Beginner,5.0,2,Coursera,https://www.coursera.org/learn/20cnwm
2d-cad,2D Cad,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD.  Would appreciate if the English subtitle is available in the wh...",Computer Science,Beginner,4.8,25,Coursera,https://www.coursera.org/learn/2d-cad
3d-cad,3D Cad,老師的影片操作部份步驟，可以稍加詳細說明一些會更好 是很好学的一门课程，对于初学者也很好掌握，很多的细节老师都讲的很详细，而且作业都是对本周课程的练习，便于大家巩固所学的知识。以后会持续关注类似的课程的，加油 like!Prof and TAs are helpful and the discussion among students are quite active.  Very rewardi...,Computer Science,Beginner,4.84,19,Coursera,https://www.coursera.org/learn/3d-cad
3d-printing,3D Printing,"На мой вкус немного поверхностно, в том смысле что хорошо бы еще схемы как платы спаять и подробнее что представляет из себя прошивка - чтобы совсе все самому сделать.  Кратко и по сути! Спасибо.  Отл...",Computer Science,Intermediate,4.8,10,Coursera,https://www.coursera.org/learn/3d-printing
3d-printing-applications,3D Printing Applications,Excellent overview of the ways in which 3D printing is in use and how it may be used in the future.  Very well documented course. Assignments are designed such a way that it stimulates you to think ou...,Computer Science,Beginner,4.28,47,Coursera,https://www.coursera.org/learn/3d-printing-applications
3d-printing-revolution,3D Printing Revolution,This is a very basic course on 3D Printing Technology but every aspect of the technology is artistically explained.  All the various points of view are considered and a 360 degree idea is passed on to...,Engineering,Beginner,4.75,118,Coursera,https://www.coursera.org/learn/3d-printing-revolution
3d-printing-software,3D Printing Software,"Thank you so much Jeff, iy was usefull course, i think it needs to extend the material and learning's period. Thank you so much!!! Very excellent class.  Lots of great information",Computer Science,Advanced,4.47,19,Coursera,https://www.coursera.org/learn/3d-printing-software
a-programar,A Programar,buenazo Muy bueno! Muy bueno Muy buen curso para iniciarse en el tema de la programación.  es muy bueno para empezar aprender la programacion Muy Claro y completo Me gusto mucho esta bien Muy bueno.  ...,Computer Science,Beginner,4.82,270,Coursera,https://www.coursera.org/learn/a-programar
abdomen-anatomy,Abdomen Anatomy,"Excellent course! Excellent course you should make more courses like this it was really an amazing experience , wonderful course with a lot of knowledge to learn , a lot of facilitations that make stu...",Computer Science,Beginner,4.68,50,Coursera,https://www.coursera.org/learn/abdomen-anatomy
ableton-live,Ableton Live,"Great intro to Ableton, with good hands-on experience.  Nice starting point for those who seek to expand their music creation toolset.  Excelente great fun and easy to learn",Arts & Design,Beginner,4.77,188,Coursera,https://www.coursera.org/learn/ableton-live
aboriginal-education,Aboriginal Education,Excellent course! Totally recommended! Great course information and content ! Very interesting ! Unfortunately there is a peer graded assignment which 3 classmates must grade.  Although two of my clas...,Education,Intermediate,4.83,6,Coursera,https://www.coursera.org/learn/aboriginal-education
academic-discussion-english,Academic Discussion English,This course teaches us tips of effective and constructive way of discussing ! I like the way it's presented.  Great course and very great exercises,Computer Science,Intermediate,5.0,3,Coursera,https://www.coursera.org/learn/academic-discussion-english
academic-literacy,Academic Literacy,"Very tough, though very instructive.  I think ti is a very interesting and well structured course.  I am participating in this course, it has an excellent material, I am learning new skills in writing...",Computer Science,Intermediate,4.82,11,Coursera,https://www.coursera.org/learn/academic-literacy
academic-writing-capstone,Academic Writing Capstone,I am very excited that I have been able to successfully complete my first Specialization. Great course! I like all these courses The research needs like six months It was an excellent challenge that t...,Computer Science,Beginner,4.64,11,Coursera,https://www.coursera.org/learn/academic-writing-capstone
academicinfoseek,Very,It is very useful by covering all related aspect in information seeking.  An excellent course: it provides learners with the concepts and skills necessary for searching and researching information in ...,Computer Science,Intermediate,4.48,25,Coursera,https://www.coursera.org/learn/academicinfoseek
accounting-analytics,Accounting Analytics,"An excellent course.  I only wish the portion on non-financial metrics included some examples or insight in how best to quantify non-financial metrics in do week 1 and 2 were kind of boring, but maybe...",Business,Beginner,4.33,172,Coursera,https://www.coursera.org/learn/accounting-analytics
accounting-finance,Accounting Finance,Course is comprehensive and detailed.  But is a bit fast paced for people new to IT Finance A very great course for all IT person I think it should be a more engaged course with practical examples,Computer Science,Intermediate,4.33,3,Coursera,https://www.coursera.org/learn/accounting-finance
accounting-for-managers,Accounting For Managers,COMPREHENSIVE AND EXCELLENT Good course with basic concepts.  Very insightful Exceptional and practically resourceful.  The lecture delivery was clear and broken down in an understandable format,Computer Science,Beginner,4.5,24,Coursera,https://www.coursera.org/learn/accounting-for-managers
activism-social-movements,Activism Social Movements,"Wow! It was such an inspiring journey! The bi-weekly assignments mixed with the bi-weekly lessons is a really great course structure.  The audio on some of the videos interviews can be poor, and I wis...",Computer Science,Intermediate,4.5,2,Coursera,https://www.coursera.org/learn/activism-social-movements
activismo-movimientos-sociales,Activismo Movimientos Sociales,Very good course and excelent teachers!,Computer Science,Intermediate,5.0,1,Coursera,https://www.coursera.org/learn/activismo-movimientos-sociales
addiction-and-the-brain,Addiction And The Brain,I thought this was a great course on learning how drugs affect the brain.  Everyone who has dealt with someone addicted to drugs should watch this.  It gives you a better idea of what people are going...,Computer Science,Beginner,4.42,214,Coursera,https://www.coursera.org/learn/addiction-and-the-brain
adhd-treatment,Adhd Treatment,I have gained a lot from this class especially since i deal with special children the strategies and goes about me has give me a lot to boost my teaching skills.  How to understand the child and contr...,Computer Science,Beginner,4.57,44,Coursera,https://www.coursera.org/learn/adhd-treatment
adjective-clauses,Adjective Clauses,"Very interesting course because I learnt several specific pieces of knowledge about adjectives that I didn't know.  Besides, I discovered appositives it is fun and usefull one of the best English cour...",Computer Science,Beginner,4.68,37,Coursera,https://www.coursera.org/learn/adjective-clauses
administracion-de-proyectos-capstone,Administracion De Proyectos Capstone,"Me pareció un curso muy bueno, te brinda información y las herramientas que ayuadaran en la identificación de necesidades, propuesta de soluciones a través de la elaboración de un proyecto que sustent...",Computer Science,Intermediate,4.81,16,Coursera,https://www.coursera.org/learn/administracion-de-proyectos-capstone
administracion-estrategica,Administracion Estrategica,"Es un curso muy completo y detallado que te enseña sobre la práctica, por lo que el aprendizaje es más dinámico.  El curso es bastante fácil de comprender por el método utilizado para ejemplificar los...",Computer Science,Beginner,4.68,37,Coursera,https://www.coursera.org/learn/administracion-estrategica
admonfinanciera,Excelente,"excelente curso!! Extraordinario curso del cual he aprendido mucho.  Muy didáctico y fácil de enteder.  Las fechas ya estan vencidas, ¿qué puedo hacer? Excelente curso",Computer Science,Intermediate,4.79,34,Coursera,https://www.coursera.org/learn/admonfinanciera
advanced-algorithms-and-complexity,Advanced Algorithms And Complexity,"Thank you very much for this awesome course, I really enjoyed and learned alot from it. I really liked the selected topics, they act like an intro to some really interesting fields in the programming....",Computer Science,Advanced,3.85,13,Coursera,https://www.coursera.org/learn/advanced-algorithms-and-complexity
advanced-calculus,Advanced Calculus,Very good.  Calculus is something everyone should try.  This course really explains what it is really about and how to use it,Computer Science,Beginner,4.77,191,Coursera,https://www.coursera.org/learn/advanced-calculus
advanced-chemistry,Advanced Chemistry,"excelent Very much to the point, no nonsense, good course! Many of the weeks' videos were out of order.  Week 4 was significantly more time-consuming than the others, but it is still an excellent cour...",Science,Advanced,4.53,59,Coursera,https://www.coursera.org/learn/advanced-chemistry
advanced-competitive-strategy,Advanced Competitive Strategy,"Was a really good course which provided me useful knowledge for my postgraduate course.  Excellent, educational and witty lectures! One of the best classes on Coursera.  I like Prof",Computer Science,Beginner,4.59,74,Coursera,https://www.coursera.org/learn/advanced-competitive-strategy
advanced-competitive-strategy-zh,Advanced Competitive Strategy Zh,having studied competitive strategy and now moving on with advanced strategy course.  It illustrate more details to me which will help the work.  Also the knowledge obtained involve lots of new ideas,Business,Advanced,4.62,16,Coursera,https://www.coursera.org/learn/advanced-competitive-strategy-zh
advanced-data-structures,Advanced Data Structures,Very well structured course.  Excellent job! Learning various search algorithms with diverse applications in real life.  A great and 'must-do' course for all beginners,Computer Science,Advanced,4.67,149,Coursera,https://www.coursera.org/learn/advanced-data-structures
advanced-excel,Advanced Excel,Great Course. .,Data Science,Beginner,4.92,37,Coursera,https://www.coursera.org/learn/advanced-excel
advanced-manufacturing-enterprise,Advanced Manufacturing Enterprise,Excellent!!!!!!!!!!!!Really Advanced course with many many resources!,Computer Science,Advanced,5.0,1,Coursera,https://www.coursera.org/learn/advanced-manufacturing-enterprise
advanced-manufacturing-process-analysis,Advanced Manufacturing Process Analysis,Thank you for giving me excellent information on digital manufacturing.  It is very helpful course for me.  Thank you The State University of New York and Coursera,Computer Science,Beginner,4.5,2,Coursera,https://www.coursera.org/learn/advanced-manufacturing-process-analysis
advanced-modeling,Advanced Modeling,"Looking forward to course 3! Excellent course with very supportive staff and professors on the forum.  On top of that aligning the assignments to ""The Romance of Three Kingdoms"" story makes it fun to ...",Computer Science,Intermediate,5.0,2,Coursera,https://www.coursera.org/learn/advanced-modeling
advanced-neurobiology1,Advanced Neurobiology1,Extremely poor quality of instruction.  The lectures themselves are little more than the material being read directly off the slides by an individual with a poor grasp on the English language.  The ma...,Computer Science,Advanced,3.1,30,Coursera,https://www.coursera.org/learn/advanced-neurobiology1
advanced-r,Advanced R,Lacking in content.  The OOP portion of the final project was poorly constructed.  The instructions were unclear and the exercise seemed futile,Computer Science,Beginner,3.94,18,Coursera,https://www.coursera.org/learn/advanced-r
advanced-trading-algorithms,Advanced Trading Algorithms,"Excellent concepts! The course is excellent! Straight to the point, both professors can explain the subject in a very easy way.  The course was a pleasant surprise!! I strongly recommend!",Computer Science,Beginner,5.0,2,Coursera,https://www.coursera.org/learn/advanced-trading-algorithms
advanced-writing,Advanced Writing,"I'm so happy to make it! I learnt so much about academic writing, thanks! I have learnt alot from this course Very good course for writing in a systematic way.  Excellent course for whom really wants ...",Computer Science,Beginner,4.62,90,Coursera,https://www.coursera.org/learn/advanced-writing
advancedneurobiologyii,The,"The male Professors seem to speak Chinese half the time, therefore not being able to understand the material for students who aren't fluent in Chinese.  I prefer the female Professor from Advanced Neu...",Computer Science,Beginner,2.75,4,Coursera,https://www.coursera.org/learn/advancedneurobiologyii
ageing,It,"Good info, lots to think about Very interesting course about the aging process and how living in different areas can really affect your longevity and your health in your senior years.  It was enjoyabl...",Computer Science,Intermediate,4.0,6,Coursera,https://www.coursera.org/learn/ageing
ageofjefferson,Jefferson,"Jefferson is a fascinating, controversial, brilliant, and hugely important figure - unquestionably a ""Founding Father"", if you will - in our nation's history.  Professor Onuf brings to light the key a...",Computer Science,Advanced,4.61,46,Coursera,https://www.coursera.org/learn/ageofjefferson
agile-planning-for-software-products,Agile Planning For Software Products,"Great, thanks! Excellent course. .",Computer Science,Beginner,4.68,72,Coursera,https://www.coursera.org/learn/agile-planning-for-software-products
agriculture-economics-nature,Agriculture Economics Nature,"Thank you very much for this beautiful course.  So many concepts, clearly explained and with great passion.  Best wishes from Montevideo, Uruguay",Arts & Design,Beginner,4.74,27,Coursera,https://www.coursera.org/learn/agriculture-economics-nature
aids-fear-hope,Aids Fear Hope,Dr.  Richard Meisler did a great job at engaging the student about this very current and pressing matter.  I want to thank him and those who he interviewed over the whole course for taking the time to...,Computer Science,Beginner,4.76,38,Coursera,https://www.coursera.org/learn/aids-fear-hope
aires-protegees,Aires Protegees,"Très passionnant ce MOOC, j'ai beaucoup apris ! Merci à toute l'équipe.  excellent Formidable Cours d'une très grande qualité, claire et diversifié.  Les intervenants qu'ils soient réguliers ou ponctu...",Computer Science,Intermediate,4.9,10,Coursera,https://www.coursera.org/learn/aires-protegees
akademiskt-skrivande,Akademiskt Skrivande,It is an exremely useful course for both the Swedish language and a better academic writing! I would like to ask Lund University to share more courses with us=),Computer Science,Intermediate,5.0,1,Coursera,https://www.coursera.org/learn/akademiskt-skrivande
algebra-basica,Algebra Basica,"Excelente, cumple con lo ofrecido, buen repaso de los componentes básicos del Álgebra.  que es muy divertido y practico lo que nos enseñan este curso de álgebra básica y Muy buen curso de Algebra Es u...",Computer Science,Beginner,4.72,247,Coursera,https://www.coursera.org/learn/algebra-basica
algebra-lineynaya,Algebra Lineynaya,"Пишут в отзывах — мол, скучно, унылое СНГ и проч.  Совершенно не согласен, манера ведения лекций замечательная, скучно не было.  Линейная алгебра она на то и линейная алгебра, без ""скучных"" теорем и т...",Computer Science,Intermediate,2.71,7,Coursera,https://www.coursera.org/learn/algebra-lineynaya
algorithmic-thinking-1,Algorithmic Thinking 1,Application assignment is a must-do for students taking this course.  The second computer network application is very a rewarding one for me to finish with gains on concepts of graph as well as progra...,Computer Science,Beginner,4.07,15,Coursera,https://www.coursera.org/learn/algorithmic-thinking-1
algorithmic-thinking-2,Algorithmic Thinking 2,"Really like the mix of theory and practical application This class gets very math and theory heavy, so I would not recommend it for those looking for programming practice with the algorithms/programmi...",Computer Science,Beginner,4.36,11,Coursera,https://www.coursera.org/learn/algorithmic-thinking-2
algorithmic-toolbox,Algorithmic Toolbox,very good content good pre course for learning any language I really enjoyed the problems.  I would strongly advise to solve them all.  Awesome course,Computer Science,Beginner,4.57,325,Coursera,https://www.coursera.org/learn/algorithmic-toolbox
algorithms,Prof,"老师讲解十分细致，谢谢老师 老师讲的太清楚了！点赞！ Prof.  explains every algorithm design method such as D&C, DP, greedy very clear.  Very nice class",Computer Science,Intermediate,5.0,5,Coursera,https://www.coursera.org/learn/algorithms
algorithms-divide-conquer,Algorithms Divide Conquer,"Great mental workout.  Well-explained, but the coding challenges and bonus questions are challenging enough to allow for a lot of growth even for more advanced students.  As someone with only (UK) hig...",Computer Science,Advanced,4.76,78,Coursera,https://www.coursera.org/learn/algorithms-divide-conquer
algorithms-graphs-data-structures,Algorithms Graphs Data Structures,"I enjoyed this course, it was more challenging than the first one in the sequence, especially in the graph-search portion.  The last 2 weeks are much more simple, but it is still essential for any ser...",Computer Science,Beginner,4.79,19,Coursera,https://www.coursera.org/learn/algorithms-graphs-data-structures
algorithms-greedy,Algorithms Greedy,Excellent I am really satisfied by the course . .,Computer Science,Advanced,5.0,6,Coursera,https://www.coursera.org/learn/algorithms-greedy
algorithms-npcomplete,Algorithms Npcomplete,"Thoroughly enjoyed this course! Problems and assignments are quite challenging but doable Very challenging, well presented.  This challenging course improves understanding of algorithms and is intelle...",Computer Science,Advanced,5.0,3,Coursera,https://www.coursera.org/learn/algorithms-npcomplete
algorithms-on-graphs,Algorithms On Graphs,"Great course, loved it! Maybe a bit easier than the previous ones in this specialization, or maybe it's just because I started using python(compared to java and c in previous courses).  Anyways the co...",Computer Science,Beginner,4.45,76,Coursera,https://www.coursera.org/learn/algorithms-on-graphs
algorithms-on-strings,Algorithms On Strings,Really challenging.  Great course!! This course is an excellent brain exercise.  My least favorite course in the specialization,Computer Science,Advanced,4.14,37,Coursera,https://www.coursera.org/learn/algorithms-on-strings
algorithms-part1,Algorithms Part1,"Brilliant course, very well taught.  really great,but it's a little bit difficult to me.",Computer Science,Beginner,4.92,325,Coursera,https://www.coursera.org/learn/algorithms-part1
alimentacion-vuelta-al-mundo,Alimentacion Vuelta Al Mundo,"Excelente curso.  Quede fascinado, tanto con la temática como con la metodología para instruirlos conocimientos enseñados a pesar de que estos últimos no son tan óptimos la información llegó de la mej...",Computer Science,Beginner,5.0,6,Coursera,https://www.coursera.org/learn/alimentacion-vuelta-al-mundo
alta-direccion,Alta Direccion,"Excelente curso ¡¡Excelente curso!! Muy útil, la calidad de las aportaciones de los profesionales Excelente curso.  Lo recomiendo, porque te permite tener una visión más amplia y actual del liderazgo ...",Computer Science,Beginner,4.88,41,Coursera,https://www.coursera.org/learn/alta-direccion
